Brand,ID,Type,Branch Name,Town,Postcode,Lat,Long,MonOp,MonCls,TueOp,TueCls,WedOp,WedCls,ThuOp,ThuCls,FriOp,FriCls,SatOp,SatCls,SunOp,SunCls
Lloyds Bank,30667600,Physical,Luton,Luton,LU1 2BB,51.879337,-0.416604,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,15:00,,
Lloyds Bank,30635700,Physical,Braintree,Braintree,CM7 1UN,51.879613,0.551496,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,30927700,Physical,Dunstable,Dunstable,LU6 1JY,51.886441,-0.520959,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,77661500,Physical,Colchester,Colchester,CO1 1DU,51.889527,0.898905,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,15:00,,
Lloyds Bank,77231000,Physical,Bicester,Bicester,OX26 6JE,51.897549,-1.150851,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,30918700,Physical,Cheltenham,Cheltenham,GL50 1EW,51.89967,-2.073248,09:30,16:30,09:30,16:30,09:30,16:30,09:30,16:30,09:30,16:30,09:00,15:00,,
Lloyds Bank,30847700,Physical,Stevenage,Stevenage,SG1 1EA,51.904138,-0.201731,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,30746400,Physical,Ross-on-Wye,Ross-on-Wye,HR9 5HJ,51.91433,-2.585624,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,77211600,Physical,Leighton Buzzard,Leighton Buzzard,LU7 1EU,51.916558,-0.661539,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,30754400,Physical,Stow-on-the-Wold,Cheltenham,GL54 1BJ,51.929631,-1.722875,09:00,15:00,09:00,15:00,,,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,77270300,Physical,Brecon,Brecon,LD3 7AR,51.947672,-3.391513,09:30,16:30,09:30,16:30,09:30,16:30,09:30,16:30,09:30,16:30,,,,
Lloyds Bank,30943000,Physical,Hitchin,Hitchin,SG5 1JQ,51.948863,-0.278236,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,30957500,Physical,Moreton-in-Marsh,Moreton-in-Marsh,GL56 0AY,51.991035,-1.70266,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,30755500,Physical,Tewkesbury,Tewkesbury,GL20 5AW,51.994034,-2.157334,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,77210800,Physical,Bletchley,Milton Keynes,MK2 2DW,51.995007,-0.730299,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,,,,
Lloyds Bank,30972400,Physical,Saffron Walden,Saffron Walden,CB10 1HF,52.023468,0.240937,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,30983100,Physical,Sudbury,Sudbury,CO10 2EL,52.038195,0.730523,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,13:00,,
Lloyds Bank,30155300,Physical,Milton Keynes,Milton Keynes,MK9 3EH,52.044884,-0.757273,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,15:00,,
Lloyds Bank,30971600,Physical,Royston,Royston,SG8 7BL,52.048294,-0.023943,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,30805500,Physical,Hereford,Hereford,HR1 2AE,52.056021,-2.715766,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,30945500,Physical,Ipswich Cornhill North,Ipswich,IP1 1DG,52.058406,1.153056,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,15:00,,
Lloyds Bank,30904200,Physical,Banbury,Banbury,OX16 5EF,52.061268,-1.336091,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,30638800,Physical,Shipston-on-Stour,Shipston-on-Stour,CV36 4AJ,52.063318,-1.625071,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,30939900,Physical,Haverhill,Haverhill,CB9 8BA,52.082059,0.43695,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,77650400,Physical,Cardigan,Cardigan,SA43 1JW,52.083109,-4.661355,09:30,16:30,09:30,16:30,09:30,16:30,09:30,16:30,09:30,16:30,,,,
Lloyds Bank,77050600,Physical,Biggleswade,Biggleswade,SG18 0JD,52.087005,-0.264196,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,13:00,,
Lloyds Bank,30998500,Physical,Woodbridge,Woodbridge,IP12 1AF,52.092636,1.317075,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,30803400,Physical,Evesham,Evesham,WR11 4DQ,52.093129,-1.947301,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,13:00,,
Lloyds Bank,30954100,Physical,Malvern Belle Vue Terrace,Malvern,WR14 4QG,52.1109,-2.330107,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,30906600,Physical,Bedford,Bedford,MK40 1SB,52.136283,-0.466859,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,30982600,Physical,Stratford-upon-Avon,Stratford-upon-Avon,CV37 6AG,52.192969,-1.706103,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,77272800,Physical,Worcester,Worcester,WR1 3PY,52.193402,-2.221062,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,15:00,,
Lloyds Bank,30644200,Physical,Cambridge University,Cambridge,CB2 3HQ,52.205594,0.12148,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,15:00,,
Lloyds Bank,30636200,Physical,Alcester,Alcester,B49 5AX,52.213541,-1.871013,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,30949900,Physical,Leominster,Leominster,HR6 8LT,52.227132,-2.737275,09:30,16:30,09:30,16:30,09:30,16:30,09:30,16:30,09:30,16:30,,,,
Lloyds Bank,30960900,Physical,Northampton,Northampton,NN1 1DJ,52.236669,-0.897047,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,15:00,,
Lloyds Bank,77050500,Physical,Newmarket,Newmarket,CB8 8LF,52.244726,0.407432,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,13:00,,
Lloyds Bank,77662600,Physical,Bury St Edmunds,Bury St Edmunds,IP33 1DB,52.24529,0.712964,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,13:00,,
Lloyds Bank,30751900,Physical,Southam,Southam,CV47 0HA,52.253009,-1.387561,09:30,15:00,09:30,15:00,09:30,15:00,09:30,15:00,09:30,15:00,,,,
Lloyds Bank,30925500,Physical,Daventry,Daventry,NN11 4HT,52.258355,-1.161339,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,13:00,,
Lloyds Bank,77273500,Physical,Droitwich,Droitwich,WR9 8DG,52.2673,-2.149817,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,30166800,Physical,Presteigne,Presteigne,LD8 2AU,52.272673,-3.005883,09:00,15:00,,,,,,,09:00,15:00,,,,
Lloyds Bank,30991500,Physical,Warwick,Warwick,CV34 4BJ,52.281242,-1.588992,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,30949300,Physical,Leamington Spa,Leamington Spa,CV32 4BB,52.290528,-1.535292,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,77210700,Physical,Wellingborough,Wellingborough,NN8 1AG,52.301165,-0.692628,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,13:00,,
Lloyds Bank,77272000,Physical,Redditch,Redditch,B98 8BZ,52.307082,-1.939669,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,77721900,Physical,St Ives,St Ives,PE27 5AE,52.323798,-0.073667,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,77720900,Physical,Huntingdon,Huntingdon,PE29 3DU,52.331282,-0.185288,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,13:00,,
Lloyds Bank,77270500,Physical,Bromsgrove,Bromsgrove,B61 8EZ,52.335653,-2.05969,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,77071400,Physical,Kenilworth,Kenilworth,CV8 1EE,52.342985,-1.579345,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,30659300,Physical,Ludlow,Ludlow,SY8 1NQ,52.366932,-2.718433,09:30,16:30,09:30,16:30,09:30,16:30,09:30,16:30,09:30,16:30,,,,
Lloyds Bank,30971700,Physical,Rugby,Rugby,CV21 3PL,52.373074,-1.260782,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,
Lloyds Bank,30947000,Physical,Kidderminster,Kidderminster,DY10 1DE,52.387656,-2.248666,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,13:00,,
